is_rural,year,tot_emp,index_denominator,indexed_value
Nonrural,1969,75742806,75742806,1
Nonrural,1970,75935202,75742806,1.002540122
Nonrural,1971,76071344,75742806,1.004337547
Nonrural,1972,78347532,75742806,1.034389088
Nonrural,1973,81849679,75742806,1.080626443
Nonrural,1974,83246239,75742806,1.099064629
Nonrural,1975,82198983,75742806,1.085238154
Nonrural,1976,84304814,75742806,1.113040544
Nonrural,1977,87292903,75742806,1.15249101
Nonrural,1978,91372266,75742806,1.206349102
Nonrural,1979,94442428,75742806,1.246883143
Nonrural,1980,95294817,75742806,1.258136872
Nonrural,1981,96173368,75742806,1.269736006
Nonrural,1982,95658155,75742806,1.262933869
Nonrural,1983,96941686,75742806,1.279879782
Nonrural,1984,101334103,75742806,1.337870992
Nonrural,1985,104442511,75742806,1.378909979
Nonrural,1986,106809929,75742806,1.41016599
Nonrural,1987,109690555,75742806,1.448197668
Nonrural,1988,113280808,75742806,1.495598249
Nonrural,1989,115545069,75742806,1.525492322
Nonrural,1990,117339080,75742806,1.549177885
Nonrural,1991,116585362,75742806,1.539226867
Nonrural,1992,116893511,75742806,1.543295227
Nonrural,1993,118993071,75742806,1.571014824
Nonrural,1994,121793320,75742806,1.607985318
Nonrural,1995,124953140,75742806,1.649703075
Nonrural,1996,127754258,75742806,1.686685043
Nonrural,1997,130807776,75742806,1.72699934
Nonrural,1998,134412178,75742806,1.774586724
Nonrural,1999,137199701,75742806,1.811389203
Nonrural,2000,140658282,75742806,1.857051375
Nonrural,2001,141130673,75742806,1.863288152
Nonrural,2002,140844725,75742806,1.859512902
Nonrural,2003,141683516,75742806,1.870587102
Nonrural,2004,144304501,75742806,1.905190851
Nonrural,2005,147420966,75742806,1.94633621
Nonrural,2006,150624758,75742806,1.988634511
Nonrural,2007,153936210,75742806,2.032354201
Nonrural,2008,153730018,75742806,2.029631936
Nonrural,2009,148966881,75742806,1.966746268
Nonrural,2010,148379300,75742806,1.958988686
Nonrural,2011,151300852,75742806,1.997560692
Nonrural,2012,153995749,75742806,2.033140269
Nonrural,2013,157149621,75742806,2.074779498
Nonrural,2014,160825953,75742806,2.123316543
Nonrural,2015,164782725,75742806,2.175556118
Nonrural,2016,167855892,75742806,2.216129833
Nonrural,2017,170760278,75742806,2.254475204
Nonrural,2018,174431483,75742806,2.30294456
Nonrural,2019,175837317,75742806,2.321505187
Nonrural,2020,170186970,75742806,2.246906063
Nonrural,2021,176996768,75742806,2.336812925
Nonrural,2022,185855492,75742806,2.453770884
Rural,1969,14531555,14531555,1
Rural,1970,14559211,14531555,1.001903169
Rural,1971,14699534,14531555,1.011559603
Rural,1972,15120820,14531555,1.040550719
Rural,1973,15668183,14531555,1.07821792
Rural,1974,15923530,14531555,1.095789817
Rural,1975,15750113,14531555,1.083855995
Rural,1976,16289806,14531555,1.120995379
Rural,1977,16726289,14531555,1.151032288
Rural,1978,17240821,14531555,1.186440199
Rural,1979,17626956,14531555,1.213012372
Rural,1980,17588653,14531555,1.210376522
Rural,1981,17633037,14531555,1.213430841
Rural,1982,17391640,14531555,1.196818923
Rural,1983,17555433,14531555,1.208090462
Rural,1984,17974729,14531555,1.236944635
Rural,1985,18065689,14531555,1.243204117
Rural,1986,18067290,14531555,1.243314291
Rural,1987,18419970,14531555,1.267584233
Rural,1988,18803766,14531555,1.293995446
Rural,1989,19112190,14531555,1.315219878
Rural,1990,19439538,14531555,1.33774658
Rural,1991,19499967,14531555,1.341905047
Rural,1992,19733099,14531555,1.357948203
Rural,1993,20205201,14531555,1.390436261
Rural,1994,20780602,14531555,1.430032918
Rural,1995,21297862,14531555,1.465628558
Rural,1996,21593682,14531555,1.485985636
Rural,1997,21974801,14531555,1.51221263
Rural,1998,22260946,14531555,1.531903915
Rural,1999,22463634,14531555,1.545852044
Rural,2000,22775807,14531555,1.567334466
Rural,2001,22453082,14531555,1.5451259
Rural,2002,22313812,14531555,1.535541929
Rural,2003,22279800,14531555,1.533201368
Rural,2004,22523776,14531555,1.549990761
Rural,2005,22842184,14531555,1.57190225
Rural,2006,23129753,14531555,1.591691529
Rural,2007,23452981,14531555,1.61393471
Rural,2008,23328030,14531555,1.605336112
Rural,2009,22565895,14531555,1.552889212
Rural,2010,22420915,14531555,1.542912304
Rural,2011,22658758,14531555,1.55927965
Rural,2012,22817709,14531555,1.570217984
Rural,2013,23000331,14531555,1.582785256
Rural,2014,23212954,14531555,1.597417069
Rural,2015,23300046,14531555,1.603410371
Rural,2016,23289036,14531555,1.60265271
Rural,2017,23320376,14531555,1.604809396
Rural,2018,23503267,14531555,1.617395179
Rural,2019,23424708,14531555,1.611989082
Rural,2020,22802134,14531555,1.569146179
Rural,2021,23371863,14531555,1.608352513
Rural,2022,24106979,14531555,1.658940079
